ID,Population,Treatment,Timepoint,SVL_Capture,Capture_Mass,Experiment_Mass,Experiment_SVL,MR_Tb,Hct,Hb,VCO2_Max,TimetoExhaustion
197,Astien,Hypoxia,T1,60.06,6.18,6.56,62.81,.,0.42101,95.28905833,.,.
197,Astien,Hypoxia,T2,60.06,6.18,6.3,64.81,.,0.38387,98.73977917,.,99.76
197,Astien,Hypoxia,T3,60.06,6.18,6.17,64.36,.,0.38265,98.274275,.,154
196,Astien,Hypoxia,T1,70.13,7.59,7.01,69.84,.,0.40351,86.30316458,.,.
196,Astien,Hypoxia,T2,70.13,7.59,7.51,71.81,.,0.48444,85.99643333,0.147,127.12
196,Astien,Hypoxia,T3,70.13,7.59,7.32,69.79,30.4,0.42867,.,0.085,164.6
195,Aubert,Normoxia,T1,65.06,6.84,7.07,64.92,.,0.36707,83.95894792,.,.
195,Aubert,Normoxia,T2,65.06,6.84,7.01,66.5,.,0.39487,95.14513167,0.144,88.72
195,Aubert,Normoxia,T3,65.06,6.84,6.77,66.45,29.2,0.35851,86.49217125,0.088,91.36
194,Aubert,Normoxia,T1,64.7,7.35,7.12,66.11,.,0.34411,84.87804583,.,.
194,Aubert,Normoxia,T2,64.7,7.35,7.59,65.82,.,0.38604,86.80006667,.,106.72
194,Aubert,Normoxia,T3,64.7,7.35,7.54,68.21,.,0.34086,95.8180325,.,174
193,Aubert,Normoxia,T1,60.61,5.52,5.43,60.94,.,0.4075,97.75847917,.,.
193,Aubert,Normoxia,T2,60.61,5.52,5.61,59.36,.,0.40594,95.24996917,.,112.68
193,Aubert,Normoxia,T3,60.61,5.52,5.72,62.31,.,0.35946,84.25764792,.,138.52
192,Aubert,Normoxia,T1,55.02,4.6,4.48,55.04,.,0.39324,76.29566167,.,.
192,Aubert,Normoxia,T2,55.02,4.6,4.99,55.3,.,0.31308,71.95846667,0.078,109.68
192,Aubert,Normoxia,T3,55.02,4.6,5.16,57.15,29.8,0.36891,88.26199,0.072,146.88
191,Aubert,Normoxia,T1,68.11,8.21,7.74,67.05,.,0.32725,91.86354167,.,.
191,Aubert,Normoxia,T2,68.11,8.21,7.67,64.52,.,0.30561,74.74375417,0.087,85.96
191,Aubert,Normoxia,T3,68.11,8.21,8.56,69.62,28.6,0.37356,96.28857708,0.069,244.88
190,Aubert,Hypoxia,T1,65.61,7.05,6.77,66.04,.,0.40407,97.32234583,.,.
190,Aubert,Hypoxia,T2,65.61,7.05,7.2,68.68,.,0.38024,85.62588667,.,90.84
190,Aubert,Hypoxia,T3,65.61,7.05,6.81,67.12,.,0.40146,79.0589325,.,134.88
189,Aubert,Normoxia,T1,60.9,5.78,5.3,60.36,.,0.37269,106.2426354,.,.
189,Aubert,Normoxia,T2,60.9,5.78,5.13,59.77,.,0.33092,68.43253667,.,96.2
189,Aubert,Normoxia,T3,60.9,5.78,5.4,61.45,28.6,0.30563,67.250345,0.077,95.28
184,Lambege,Normoxia,T1,62.96,7.24,6.79,62.61,.,0.39609,89.58779375,.,.
184,Lambege,Normoxia,T2,62.96,7.24,7.15,65.66,.,0.27418,87.149525,0.145,56.6
184,Lambege,Normoxia,T3,62.96,7.24,6.7,64.94,29,0.38101,103.7596033,0.092,93.28
182,Lambege,Normoxia,T1,67.5,7.59,7.69,64.28,.,.,.,.,.
182,Lambege,Normoxia,T2,67.5,7.59,7.23,67.49,.,0.3398,62.0094925,0.061,107.92
182,Lambege,Normoxia,T3,67.5,7.59,7.48,67.84,29,0.30053,80.84864792,.,248.52
181,Lambege,Normoxia,T1,51.18,3.66,3.69,53.87,.,0.37049,90.96561,.,.
181,Lambege,Normoxia,T2,51.18,3.66,3.72,52.61,.,0.31346,91.54571083,.,110.72
181,Lambege,Normoxia,T3,51.18,3.66,3.57,54.91,.,0.35974,.,.,165.8
180,Lambege,Normoxia,T1,56.67,4.42,4.81,58.28,.,0.48837,98.52507833,.,.
180,Lambege,Normoxia,T2,56.67,4.42,5.2,57.47,.,0.34318,94.02088833,0.1026758,140.48
180,Lambege,Normoxia,T3,56.67,4.42,5.1,58.38,28,0.37877,98.92345,.,216.92
179,Astien,Normoxia,T1,59.48,5.07,5.56,61,.,0.50474,91.68668542,.,.
179,Astien,Normoxia,T2,59.48,5.07,5.07,61.19,.,0.31268,70.72498333,.,164.72
179,Astien,Normoxia,T3,59.48,5.07,5.1,62.3,28.6,0.32863,90.47895833,0.086,138.2
178,Aubert,Hypoxia,T1,64,6.92,6.6,64.29,.,0.28017,.,.,.
178,Aubert,Hypoxia,T2,64,6.92,6.79,64.7,.,0.39279,91.54438542,.,102.68
178,Aubert,Hypoxia,T3,64,6.92,6.85,65.32,.,0.32206,71.12003125,.,270.08
177,Astien,Hypoxia,T1,62.77,5.51,5.41,61.02,.,0.38731,.,.,.
177,Astien,Hypoxia,T2,62.77,5.51,5.28,62.97,.,0.41433,106.4675167,.,80.64
177,Astien,Hypoxia,T3,62.77,5.51,5.24,64.53,.,0.44925,81.85714375,.,96.48
176,Aubert,Hypoxia,T1,61.44,6,6.34,64.77,.,0.3294,.,.,.
176,Aubert,Hypoxia,T2,61.44,6,5.78,61.82,.,0.38531,73.77924917,0.101,80
176,Aubert,Hypoxia,T3,61.44,6,5.82,64.11,.,0.38347,79.85158167,.,103
175,Aubert,Hypoxia,T1,62.47,7.04,7.92,67.07,.,0.39811,.,.,.
175,Aubert,Hypoxia,T2,62.47,7.04,7.6,66.92,.,0.44293,78.28726167,.,61.24
175,Aubert,Hypoxia,T3,62.47,7.04,6.96,68.85,30.8,0.22583,56.19731667,0.063,90.36
